Date,Open,High,Low,Close,Adj Close,Volume
2021-06-01,220.630005,221.119995,215.850006,217.080002,213.836044,422500
2021-06-02,217.759995,219.509995,216.589996,216.949997,213.707977,401400
2021-06-03,215.169998,216.619995,214.039993,216.000000,212.772171,438200
2021-06-04,217.660004,220.070007,216.649994,219.259995,215.983459,365500
2021-06-07,218.750000,219.740005,217.029999,218.929993,215.658401,476200
2021-06-08,219.389999,220.539993,218.199997,218.789993,215.520493,422300
2021-06-09,219.630005,220.110001,217.809998,217.809998,214.555145,388100
2021-06-10,218.500000,221.100006,217.779999,220.970001,217.667938,550200
2021-06-11,221.089996,222.160004,219.710007,221.000000,217.697449,480000
2021-06-14,220.440002,220.440002,217.750000,220.169998,216.879883,607200
2021-06-15,220.889999,221.679993,218.910004,220.779999,217.480743,547700
2021-06-16,221.899994,222.050003,216.380005,218.800003,215.530350,512500
2021-06-17,218.350006,223.619995,217.699997,223.259995,219.923691,552900
2021-06-18,223.080002,224.669998,221.399994,223.169998,219.835037,1141300
2021-06-21,223.710007,225.740005,221.889999,224.740005,221.381577,511300
2021-06-22,224.979996,227.130005,224.289993,226.850006,223.460068,427000
2021-06-23,227.199997,227.490005,225.139999,226.309998,222.928101,427100
2021-06-24,227.169998,229.940002,227.160004,229.429993,226.001495,549400
2021-06-25,230.050003,230.089996,226.039993,227.729996,224.326889,2239300
2021-06-28,228.550003,231.429993,228.389999,228.690002,225.272552,542000
2021-06-29,227.169998,230.000000,226.289993,229.779999,226.346268,565600
2021-06-30,229.789993,230.830002,226.990005,227.690002,224.287491,449500
2021-07-01,227.600006,229.899994,227.600006,229.190002,225.765091,348200
2021-07-02,230.940002,232.119995,229.899994,231.330002,227.873108,515300
2021-07-06,231.330002,233.070007,230.029999,231.470001,228.011017,450200
2021-07-07,232.800003,232.869995,230.050003,232.830002,229.350677,338100
2021-07-08,231.149994,234.119995,229.869995,231.809998,228.345932,428200
2021-07-09,231.190002,233.160004,229.210007,233.029999,229.547699,368100
2021-07-12,233.699997,234.559998,228.820007,229.160004,225.735535,349200
2021-07-13,229.009995,229.759995,227.399994,228.490005,225.075546,434900
2021-07-14,228.929993,230.880005,228.820007,230.639999,227.193420,528000
2021-07-15,231.190002,231.360001,228.490005,229.210007,225.784805,315000
2021-07-16,229.860001,231.979996,229.059998,229.740005,226.306870,354500
2021-07-19,229.880005,230.580002,227.600006,228.550003,225.134659,425400
2021-07-20,228.690002,230.559998,227.839996,229.429993,226.001495,360300
2021-07-21,229.210007,230.199997,227.100006,230.130005,226.691040,357200
2021-07-22,230.500000,233.690002,230.130005,233.529999,230.040207,550000
2021-07-23,224.729996,225.720001,216.520004,222.539993,219.214447,1355700
2021-07-26,221.100006,224.360001,219.479996,222.960007,219.628174,538400
2021-07-27,223.279999,223.740005,217.880005,219.169998,215.894821,552000
2021-07-28,218.929993,220.160004,215.580002,216.240005,213.008621,539500
2021-07-29,215.759995,219.250000,215.610001,216.039993,212.811569,373100
2021-07-30,214.679993,216.580002,214.550003,216.369995,213.136642,342100
2021-08-02,217.339996,217.979996,214.679993,216.440002,213.205612,311900
2021-08-03,216.429993,217.080002,214.699997,215.770004,212.545609,272500
2021-08-04,215.279999,215.839996,211.619995,213.880005,210.683884,305400
2021-08-05,213.779999,215.779999,213.300003,214.869995,211.659073,468200
2021-08-06,214.119995,214.990005,211.589996,213.910004,210.713440,460600
2021-08-09,214.369995,214.940002,213.070007,214.389999,211.186249,331300
2021-08-10,214.479996,214.750000,211.429993,211.960007,208.792572,290500
2021-08-11,212.119995,212.850006,210.559998,211.740005,208.575851,259800
2021-08-12,212.000000,212.350006,209.929993,210.300003,207.157364,288500
2021-08-13,209.830002,210.410004,208.710007,209.440002,206.310211,583900
2021-08-16,209.020004,210.669998,207.649994,210.600006,207.452881,491200
2021-08-17,210.630005,212.190002,208.729996,211.550003,208.388702,344100
2021-08-18,210.710007,211.160004,208.589996,208.710007,205.591110,519600
2021-08-19,208.619995,212.490005,208.179993,211.839996,208.674347,520500
2021-08-20,212.449997,214.130005,211.199997,213.039993,209.856430,528400
2021-08-23,213.520004,215.380005,211.979996,214.690002,211.481766,438400
2021-08-24,215.130005,215.720001,213.009995,213.360001,210.171616,318400
2021-08-25,213.860001,213.979996,211.300003,211.960007,208.792572,351300
2021-08-26,211.179993,213.220001,210.929993,212.729996,209.551056,360700
2021-08-27,212.470001,215.100006,212.029999,214.660004,211.452209,342500
2021-08-30,215.130005,217.009995,214.880005,216.149994,212.919937,287200
2021-08-31,216.669998,217.070007,214.990005,216.259995,213.028290,524300
2021-09-01,216.800003,219.839996,216.580002,218.509995,215.244675,467400
2021-09-02,218.919998,220.770004,217.490005,220.500000,217.204926,395900
2021-09-03,219.960007,222.089996,219.520004,220.229996,216.938965,347000
2021-09-07,220.399994,220.940002,218.289993,220.250000,216.958679,280300
2021-09-08,221.000000,223.279999,219.729996,222.720001,219.391785,384800
2021-09-09,223.429993,224.869995,221.500000,221.899994,218.584015,390900
2021-09-10,222.669998,223.490005,220.350006,221.169998,217.864899,424900
2021-09-13,222.679993,223.729996,220.050003,221.080002,217.776260,413700
2021-09-14,221.080002,222.830002,219.580002,221.949997,218.633270,462900
2021-09-15,222.190002,224.960007,221.440002,224.270004,220.918610,396000
2021-09-16,224.309998,225.240005,223.250000,224.729996,221.371719,376500
2021-09-17,224.369995,224.520004,217.500000,218.770004,215.500778,1188100
2021-09-20,217.649994,219.210007,211.919998,214.080002,210.880875,530400
2021-09-21,214.600006,216.149994,212.990005,213.720001,210.526260,404500
2021-09-22,213.320007,216.759995,212.479996,214.869995,211.659073,357000
2021-09-23,214.669998,217.699997,214.449997,216.479996,213.244995,341000
2021-09-24,215.539993,217.830002,215.539993,217.770004,214.515747,363100
2021-09-27,216.309998,216.389999,213.699997,213.899994,210.703568,440100
2021-09-28,211.490005,212.070007,205.130005,205.660004,202.586716,582000
2021-09-29,206.250000,207.080002,204.940002,205.729996,202.655640,345500
2021-09-30,206.970001,207.460007,204.429993,205.009995,201.946411,435700
2021-10-01,206.169998,208.389999,204.229996,206.679993,203.591461,344700
2021-10-04,205.389999,205.750000,204.300003,205.350006,202.281326,632100
2021-10-05,205.740005,208.350006,204.940002,206.630005,203.542221,328500
2021-10-06,205.029999,208.589996,204.949997,208.190002,205.078888,600300
2021-10-07,209.669998,212.809998,209.240005,209.630005,206.497391,374900
