Date,Open,High,Low,Close,Adj Close,Volume
2021-06-01,125.080002,125.349998,123.940002,124.279999,121.142166,67637100
2021-06-02,124.279999,125.239998,124.050003,125.059998,121.902473,59278900
2021-06-03,124.680000,124.849998,123.129997,123.540001,120.420853,76229200
2021-06-04,124.070000,126.160004,123.849998,125.889999,122.711510,75169300
2021-06-07,126.169998,126.320000,124.830002,125.900002,122.721275,71057600
2021-06-08,126.599998,128.460007,126.209999,126.739998,123.540070,74403800
2021-06-09,127.209999,127.750000,126.519997,127.129997,123.920219,56877900
2021-06-10,127.019997,128.190002,125.940002,126.110001,122.925964,71186400
2021-06-11,126.529999,127.440002,126.099998,127.349998,124.134674,53522400
2021-06-14,127.820000,130.539993,127.070000,130.479996,127.185623,96906500
2021-06-15,129.940002,130.600006,129.389999,129.639999,126.366844,62746300
2021-06-16,130.369995,130.889999,128.460007,130.149994,126.863937,91815000
2021-06-17,129.800003,132.550003,129.649994,131.789993,128.462555,96721700
2021-06-18,130.710007,131.509995,130.240005,130.460007,127.166161,108953300
2021-06-21,130.300003,132.410004,129.210007,132.300003,128.959686,79663300
2021-06-22,132.130005,134.080002,131.619995,133.979996,130.597260,74783600
2021-06-23,133.770004,134.320007,133.229996,133.699997,130.324326,60214200
2021-06-24,134.449997,134.639999,132.929993,133.410004,130.041626,68711000
2021-06-25,133.460007,133.889999,132.809998,133.110001,129.749268,70783700
2021-06-28,133.410004,135.250000,133.350006,134.779999,131.377075,62111300
2021-06-29,134.800003,136.490005,134.350006,136.330002,132.887924,64556100
2021-06-30,136.169998,137.410004,135.869995,136.960007,133.502045,63261400
2021-07-01,136.600006,137.330002,135.759995,137.270004,133.804199,52485800
2021-07-02,137.899994,140.000000,137.750000,139.960007,136.426315,78852600
2021-07-06,140.070007,143.149994,140.070007,142.020004,138.434280,108181800
2021-07-07,143.539993,144.889999,142.660004,144.570007,140.919907,104911600
2021-07-08,141.580002,144.059998,140.669998,143.240005,139.623444,105575500
